loci_name,adjacent_genes_0kb_tss
chr1_27500000_27600000,intergenic
chr1_27600000_27700000,intergenic
chr1_27700000_27800000,intergenic
chr1_27800000_27900000,Gm5524
chr1_27900000_28000000,intergenic
chr1_28000000_28100000,intergenic
chr1_28100000_28200000,intergenic
chr1_28200000_28300000,intergenic
chr1_28300000_28400000,intergenic
chr1_28400000_28500000,intergenic
chr1_28500000_28600000,intergenic
chr1_28600000_28700000,intergenic
chr1_28700000_28800000,Gm597
chr1_28800000_28900000,intergenic
chr1_28900000_29000000,intergenic
chr1_29000000_29100000,intergenic
chr1_29100000_29200000,intergenic
chr1_29200000_29300000,intergenic
chr1_29300000_29400000,intergenic
chr1_29400000_29500000,intergenic
chr1_29500000_29600000,intergenic
chr1_29600000_29700000,intergenic
chr1_29700000_29800000,intergenic
chr1_29800000_29900000,intergenic
chr1_29900000_30000000,intergenic
chr1_30000000_30100000,intergenic
chr1_30100000_30200000,intergenic
chr1_30200000_30300000,intergenic
chr1_30300000_30400000,intergenic
chr1_30400000_30500000,intergenic
chr1_30500000_30600000,intergenic
chr1_30600000_30700000,intergenic
chr1_30700000_30800000,Gm9898
chr1_30800000_30900000,Phf3
chr1_30900000_31000000,Ptp4a1
chr1_31000000_31100000,Gm28644
chr1_31100000_31200000,Gm29128; Lgsn
chr1_31200000_31300000,4931428L18Rik; Pih1d3
chr1_31300000_31400000,intergenic
chr1_31400000_31500000,intergenic
chr1_31500000_31600000,intergenic
chr1_31600000_31700000,intergenic
chr1_31700000_31800000,intergenic
chr1_31800000_31900000,intergenic
chr1_31900000_32000000,intergenic
chr1_32000000_32100000,intergenic
chr1_32100000_32200000,Khdrbs2
chr1_32200000_32300000,intergenic
chr1_32300000_32400000,intergenic
chr1_32400000_32500000,intergenic
chr1_32500000_32600000,Gm5415
chr1_32600000_32700000,intergenic
chr1_32700000_32800000,intergenic
chr1_32800000_32900000,intergenic
chr1_32900000_33000000,intergenic
chr1_33000000_33100000,intergenic
chr1_33100000_33200000,intergenic
chr1_33200000_33300000,intergenic
chr1_33300000_33400000,intergenic
chr1_33400000_33500000,intergenic
chr1_33500000_33600000,intergenic
chr1_33600000_33700000,Prim2
chr1_33700000_33800000,Rab23; Bag2
chr1_33800000_33900000,Zfp451
chr1_33900000_34000000,Bend6; Dst
chr1_34000000_34100000,intergenic
chr1_34100000_34200000,intergenic
chr1_34200000_34300000,intergenic
chr1_34300000_34400000,intergenic
chr1_34400000_34500000,Gm37233; Ccdc115; Gm28306; Imp4; Ptpn18; 4930568A12Rik
chr1_34500000_34600000,Cfc1; Prss40; 1700101I19Rik; Amer3
chr1_34600000_34700000,Arhgef4
chr1_34700000_34800000,intergenic
chr1_34800000_34900000,Gm38336; Fam168b; Plekhb2
chr1_34900000_35000000,intergenic
chr1_35000000_35100000,intergenic
chr1_35100000_35200000,intergenic
chr1_35200000_35300000,intergenic
chr1_35300000_35400000,intergenic
chr1_35400000_35500000,intergenic
chr1_35500000_35600000,intergenic
chr1_35600000_35700000,Gm37068
chr1_35700000_35800000,intergenic
chr1_35800000_35900000,Gm28415; 1110002O04Rik
chr1_35900000_36000000,intergenic
chr1_36000000_36100000,Gm33222; Hs6st1
chr1_36100000_36200000,Gm37335; Gm33280
chr1_36200000_36300000,Uggt1; Neurl3
chr1_36300000_36400000,Arid5a; 4930403P22Rik; Kansl3; Fer1l5
chr1_36400000_36500000,Lman2l; Cnnm4
chr1_36500000_36600000,Cnnm3; Gm38033; Ankrd23; Gm42417; Ankrd39; Sema4c
chr1_36600000_36700000,Fam178b; Cox5b
chr1_36700000_36800000,Actr1b; 4933424G06Rik; Gm33533; Zap70
chr1_36800000_36900000,intergenic
chr1_36900000_37000000,Tmem131
chr1_37000000_37100000,Vwa3b
chr1_37100000_37200000,Gm37020
chr1_37200000_37300000,Cnga3; Inpp4a
chr1_37300000_37400000,4930439A04Rik
chr1_37400000_37500000,Coa5; Unc50
chr1_37500000_37600000,Mgat4a
chr1_37600000_37700000,4930556I23Rik
chr1_37700000_37800000,2010300C02Rik
chr1_37800000_37900000,Tsga10; Gm26805; Lipt1; Mitd1; Mrpl30
chr1_37900000_38000000,Lyg2; Gm15457; Lyg1; Txndc9; Eif5b
chr1_38000000_38100000,intergenic
chr1_38100000_38200000,Rev1; Gm5099
chr1_38200000_38300000,Gm16150
chr1_38300000_38400000,Gm16151; Gm16152
chr1_38400000_38500000,intergenic
chr1_38500000_38600000,intergenic
chr1_38600000_38700000,Aff3
chr1_38700000_38800000,intergenic
chr1_38800000_38900000,Lonrf2; Chst10; Gm37707
chr1_38900000_39000000,Nms; Pdcl3
chr1_39000000_39100000,Gm37821
chr1_39100000_39200000,Npas2
chr1_39200000_39300000,intergenic
chr1_39300000_39400000,Rpl31
chr1_39400000_39500000,Tbc1d8
chr1_39500000_39600000,Cnot11; Rnf149
chr1_39600000_39700000,Creg2; D930019O06Rik
chr1_39700000_39800000,Rfx8
chr1_39800000_39900000,1700066B17Rik
chr1_39900000_40000000,Map4k4
chr1_40000000_40100000,Il1r2; Gm16894
chr1_40100000_40200000,intergenic
chr1_40200000_40300000,Il1r1
chr1_40300000_40400000,Il1rl2
chr1_40400000_40500000,Il1rl1; Il18r1
chr1_40500000_40600000,Il18rap; Gm35801; Slc9a4
chr1_40600000_40700000,Slc9a2; Gm37623
chr1_40700000_40800000,Gm37915; Mfsd9
chr1_40800000_40900000,Tmem182
chr1_40900000_41000000,intergenic
chr1_41000000_41100000,intergenic
chr1_41100000_41200000,intergenic
chr1_41200000_41300000,intergenic
chr1_41300000_41400000,intergenic
chr1_41400000_41500000,intergenic
chr1_41500000_41600000,intergenic
chr1_41600000_41700000,intergenic
chr1_41700000_41800000,Gm29260
chr1_41800000_41900000,intergenic
chr1_41900000_42000000,intergenic
chr1_42000000_42100000,intergenic
chr1_42100000_42200000,intergenic
chr1_42200000_42300000,Gm9915; Gm29664; Gm28175
chr1_42300000_42400000,Gm28140
chr1_42400000_42500000,intergenic
chr1_42500000_42600000,intergenic
chr1_42600000_42700000,Pantr1; Pou3f3
chr1_42700000_42800000,Dalir
chr1_42800000_42900000,Mrps9
chr1_42900000_43000000,Gpr45
chr1_43000000_43100000,Tgfbrap1; Gm28782; 8430432A02Rik; AI597479
chr1_43100000_43200000,Fhl2
chr1_43200000_43300000,intergenic
chr1_43300000_43400000,Gm29040
chr1_43400000_43500000,Nck2
chr1_43500000_43600000,intergenic
chr1_43600000_43700000,intergenic
chr1_43700000_43800000,Gm29155; Gm29157; Gm29156
chr1_43800000_43900000,Uxs1
chr1_43900000_44000000,Tpp2
chr1_44000000_44100000,Mettl21c; Gm8251
chr1_44100000_44200000,Tex30; Bivm; Ercc5
chr1_44200000_44300000,Mettl21e
chr1_44300000_44400000,intergenic
chr1_44400000_44500000,intergenic
chr1_44500000_44600000,Gulp1
chr1_44600000_44700000,intergenic
chr1_44700000_44800000,4930521E06Rik
chr1_44800000_44900000,intergenic
chr1_44900000_45000000,intergenic
chr1_45000000_45100000,intergenic
chr1_45100000_45200000,intergenic
chr1_45200000_45300000,intergenic
chr1_45300000_45400000,Col3a1
chr1_45400000_45500000,intergenic
chr1_45500000_45600000,Col5a2
chr1_45600000_45700000,intergenic
chr1_45700000_45800000,Wdr75
chr1_45800000_45900000,Gm5269
chr1_45900000_46000000,Slc40a1
chr1_46000000_46100000,Dnah7b
chr1_46100000_46200000,intergenic
chr1_46200000_46300000,intergenic
chr1_46300000_46400000,intergenic
chr1_46400000_46500000,Dnah7c
chr1_46500000_46600000,intergenic
chr1_46600000_46700000,intergenic
chr1_46700000_46800000,intergenic
chr1_46800000_46900000,Slc39a10
chr1_46900000_47000000,intergenic
chr1_47000000_47100000,intergenic
chr1_47100000_47200000,Gm28826
chr1_47200000_47300000,intergenic
chr1_47300000_47400000,intergenic
chr1_47400000_47500000,intergenic
chr1_47500000_47600000,intergenic
chr1_47600000_47700000,intergenic
chr1_47700000_47800000,intergenic
chr1_47800000_47900000,intergenic
chr1_47900000_48000000,intergenic
chr1_48000000_48100000,intergenic
chr1_48100000_48200000,intergenic
chr1_48200000_48300000,intergenic
chr1_48300000_48400000,intergenic
chr1_48400000_48500000,intergenic
chr1_48500000_48600000,intergenic
chr1_48600000_48700000,intergenic
chr1_48700000_48800000,intergenic
chr1_48800000_48900000,intergenic
chr1_48900000_49000000,intergenic
chr1_49000000_49100000,intergenic
chr1_49100000_49200000,intergenic
chr1_49200000_49300000,C230029F24Rik
chr1_49300000_49400000,intergenic
chr1_49400000_49500000,intergenic
chr1_49500000_49600000,intergenic
chr1_49600000_49700000,intergenic
chr1_49700000_49800000,intergenic
chr1_49800000_49900000,intergenic
chr1_49900000_50000000,intergenic
chr1_50000000_50100000,intergenic
chr1_50100000_50200000,4933411E06Rik
chr1_50200000_50300000,intergenic
chr1_50300000_50400000,intergenic
chr1_50400000_50500000,intergenic
chr1_50500000_50600000,intergenic
chr1_50600000_50700000,intergenic
chr1_50700000_50800000,intergenic
chr1_50800000_50900000,intergenic
chr1_50900000_51000000,Tmeff2
chr1_51000000_51100000,intergenic
chr1_51100000_51200000,Gm28319; Gm29325
chr1_51200000_51300000,Cavin2
chr1_51300000_51400000,9330175M20Rik
chr1_51400000_51500000,Nabp1
chr1_51500000_51600000,Gm17767
chr1_51600000_51700000,intergenic
chr1_51700000_51800000,Gm28055
chr1_51800000_51900000,intergenic
chr1_51900000_52000000,Myo1b; Stat4
chr1_52000000_52100000,intergenic
chr1_52100000_52200000,Gm31812; Stat1
chr1_52200000_52300000,Gls
chr1_52300000_52400000,intergenic
chr1_52400000_52500000,intergenic
chr1_52500000_52600000,Nab1; Gm553; Gm28178
chr1_52600000_52700000,Nemp2
chr1_52700000_52800000,Mfsd6
chr1_52800000_52900000,Inpp1; Hibch
chr1_52900000_53000000,intergenic
chr1_53000000_53100000,1700019D03Rik; Mstn
chr1_53100000_53200000,1700019A02Rik; Gm28777
chr1_53200000_53300000,Pms1; Ormdl1; Gm28778
chr1_53300000_53400000,Osgepl1; Gm28551; Asnsd1
chr1_53400000_53500000,intergenic
chr1_53500000_53600000,intergenic
chr1_53600000_53700000,intergenic
chr1_53700000_53800000,Dnah7a; Stk17b
chr1_53800000_53900000,intergenic
chr1_53900000_54000000,intergenic
chr1_54000000_54100000,intergenic
chr1_54100000_54200000,Hecw2
chr1_54200000_54300000,Ccdc150
chr1_54300000_54400000,intergenic
chr1_54400000_54500000,Gtf3c3; Gm34066
chr1_54500000_54600000,Pgap1
chr1_54600000_54700000,4930444A19Rik
chr1_54700000_54800000,intergenic
chr1_54800000_54900000,intergenic
chr1_54900000_55000000,Ankrd44
chr1_55000000_55100000,Sf3b1; Coq10b; Hspd1; Hspe1
chr1_55100000_55200000,Mob4
chr1_55200000_55300000,Rftn2; Gm10561; Mars2
chr1_55300000_55400000,Boll
chr1_55400000_55500000,Plcl1
chr1_55500000_55600000,intergenic
chr1_55600000_55700000,intergenic
chr1_55700000_55800000,intergenic
chr1_55800000_55900000,intergenic
chr1_55900000_56000000,9130227L01Rik
chr1_56000000_56100000,intergenic
chr1_56100000_56200000,intergenic
chr1_56200000_56300000,intergenic
chr1_56300000_56400000,intergenic
chr1_56400000_56500000,intergenic
chr1_56500000_56600000,Gm28240
chr1_56600000_56700000,Hsfy2
chr1_56700000_56800000,intergenic
chr1_56800000_56900000,intergenic
chr1_56900000_57000000,Satb2
chr1_57000000_57100000,intergenic
chr1_57100000_57200000,intergenic
chr1_57200000_57300000,BC055402
chr1_57300000_57400000,4930558J18Rik; 1700066M21Rik
chr1_57400000_57500000,Tyw5; Maip1
chr1_57500000_57600000,intergenic
chr1_57600000_57700000,intergenic
chr1_57700000_57800000,Spats2l
chr1_57800000_57900000,intergenic
chr1_57900000_58000000,Gm17234; Sgo2a
chr1_58000000_58100000,Kctd18; Aox1
chr1_58100000_58200000,Aox3
chr1_58200000_58300000,Aox4; Aox2
chr1_58300000_58400000,Gm15759; Bzw1
chr1_58400000_58500000,Clk1; Ppil3; Nif3l1
chr1_58500000_58600000,Orc2; Gm15834; Fam126b; Ndufb3
chr1_58600000_58700000,intergenic
chr1_58700000_58800000,Cflar; Casp8
chr1_58800000_58900000,intergenic
chr1_58900000_59000000,Trak2; Stradb
chr1_59000000_59100000,Gm29018; C2cd6
chr1_59100000_59200000,Tmem237; G730003C15Rik; Mpp4; Gm29017
chr1_59200000_59300000,Als2; Cdk15
chr1_59300000_59400000,Gm29016
chr1_59400000_59500000,Fzd7
chr1_59500000_59600000,Gm973; Gm28411
chr1_59600000_59700000,Sumo1; Nop58
chr1_59700000_59800000,Bmpr2
chr1_59800000_59900000,intergenic
chr1_59900000_60000000,Fam117b
chr1_60000000_60100000,Ica1l; Wdr12; Carf
chr1_60100000_60200000,Nbeal1
chr1_60200000_60300000,intergenic
chr1_60300000_60400000,Cyp20a1
chr1_60400000_60500000,Abi2
chr1_60500000_60600000,Raph1
chr1_60600000_60700000,intergenic
chr1_60700000_60800000,Cd28; Gm11579; 2310016D23Rik
chr1_60800000_60900000,Ctla4
chr1_60900000_61000000,Icos
chr1_61000000_61100000,intergenic
chr1_61100000_61200000,intergenic
chr1_61200000_61300000,intergenic
chr1_61300000_61400000,Gm11587; 9530026F06Rik
chr1_61400000_61500000,Gm11588; Gm28449
chr1_61500000_61600000,intergenic
chr1_61600000_61700000,4930587A21Rik; Pard3b
chr1_61700000_61800000,intergenic
chr1_61800000_61900000,Pard3bos1
chr1_61900000_62000000,intergenic
chr1_62000000_62100000,intergenic
chr1_62100000_62200000,intergenic
chr1_62200000_62300000,intergenic
chr1_62300000_62400000,intergenic
chr1_62400000_62500000,Pard3bos3
chr1_62500000_62600000,Gm29084
chr1_62600000_62700000,intergenic
chr1_62700000_62800000,Nrp2; Gm29083
chr1_62800000_62900000,Gm4208
chr1_62900000_63000000,intergenic
chr1_63000000_63100000,intergenic
chr1_63100000_63200000,Ino80d; Ino80dos; Ndufs1; Eef1b2
chr1_63200000_63300000,Gpr1; Gm11608; Zdbf2
chr1_63300000_63400000,intergenic
chr1_63400000_63500000,Adam23
chr1_63500000_63600000,intergenic
chr1_63600000_63700000,Gm39653; Dytn
chr1_63700000_63800000,Mdh1b; Fastkd2; 4933402D24Rik
chr1_63800000_63900000,intergenic
chr1_63900000_64000000,Gm13749
chr1_64000000_64100000,Gm13748
chr1_64100000_64200000,Klf7
chr1_64200000_64300000,intergenic
chr1_64300000_64400000,Gm28981
chr1_64400000_64500000,intergenic
chr1_64500000_64600000,Creb1
chr1_64600000_64700000,Mettl21a; Gm28982; Gm29152; Ccnyl1
chr1_64700000_64800000,Fzd5
chr1_64800000_64900000,intergenic
chr1_64900000_65000000,Plekhm3
chr1_65000000_65100000,Akr1cl; Cryge
chr1_65100000_65200000,Cryga; Gm28845; D630023F18Rik; Idh1; Pikfyve
chr1_65200000_65300000,Pth2r
chr1_65300000_65400000,intergenic
chr1_65400000_65500000,intergenic
chr1_65500000_65600000,intergenic
chr1_65600000_65700000,intergenic
chr1_65700000_65800000,intergenic
chr1_65800000_65900000,intergenic
chr1_65900000_66000000,intergenic
chr1_66000000_66100000,intergenic
chr1_66100000_66200000,Map2
chr1_66200000_66300000,intergenic
chr1_66300000_66400000,Gm10558
chr1_66400000_66500000,Unc80
chr1_66500000_66600000,intergenic
chr1_66600000_66700000,intergenic
chr1_66700000_66800000,Rpe
chr1_66800000_66900000,Kansl1l; Acadl
chr1_66900000_67000000,Myl1
chr1_67000000_67100000,Lancl1
chr1_67100000_67200000,Cps1
chr1_67200000_67300000,Gm15668
chr1_67300000_67400000,intergenic
chr1_67400000_67500000,intergenic
chr1_67500000_67600000,intergenic
chr1_67600000_67700000,intergenic
chr1_67700000_67800000,Gm15669
chr1_67800000_67900000,intergenic
chr1_67900000_68000000,intergenic
chr1_68000000_68100000,intergenic
chr1_68100000_68200000,intergenic
chr1_68200000_68300000,intergenic
chr1_68300000_68400000,intergenic
chr1_68400000_68500000,intergenic
chr1_68500000_68600000,intergenic
chr1_68600000_68700000,intergenic
chr1_68700000_68800000,intergenic
chr1_68800000_68900000,intergenic
chr1_68900000_69000000,intergenic
chr1_69000000_69100000,intergenic
chr1_69100000_69200000,Erbb4
chr1_69200000_69300000,intergenic
chr1_69300000_69400000,intergenic
chr1_69400000_69500000,Gm28497; Gm29113
chr1_69500000_69600000,Gm29114
chr1_69600000_69700000,Ikzf2
chr1_69700000_69800000,intergenic
chr1_69800000_69900000,Spag16
chr1_69900000_70000000,intergenic
chr1_70000000_70100000,intergenic
chr1_70100000_70200000,intergenic
chr1_70200000_70300000,intergenic
chr1_70300000_70400000,intergenic
chr1_70400000_70500000,intergenic
chr1_70500000_70600000,intergenic
chr1_70600000_70700000,intergenic
chr1_70700000_70800000,Vwc2l
chr1_70800000_70900000,intergenic
chr1_70900000_71000000,intergenic
chr1_71000000_71100000,intergenic
chr1_71100000_71200000,Bard1
chr1_71200000_71300000,intergenic
chr1_71300000_71400000,intergenic
chr1_71400000_71500000,Abca12
chr1_71500000_71600000,Atic
chr1_71600000_71700000,Fn1; Apol7d
chr1_71700000_71800000,intergenic
chr1_71800000_71900000,intergenic
chr1_71900000_72000000,Gm28818
chr1_72000000_72100000,4933417E11Rik; 4930556G22Rik
chr1_72100000_72200000,Gm4319
chr1_72200000_72300000,Mreg; Pecr; Tmem169
chr1_72300000_72400000,Xrcc5
chr1_72400000_72500000,intergenic
chr1_72500000_72600000,Smarcal1
chr1_72600000_72700000,Gm39662
chr1_72700000_72800000,Ankar; Rpl37a
chr1_72800000_72900000,Igfbp2; Igfbp5
chr1_72900000_73000000,1700027A15Rik
chr1_73000000_73100000,intergenic
chr1_73100000_73200000,intergenic
chr1_73200000_73300000,Gm29185
chr1_73300000_73400000,D530049I02Rik
chr1_73400000_73500000,intergenic
